genotype_id,sample_description,attac_count_id,attac_bam_id
A14_AF,MatureFemale_R1,AtanticSalmon_ATAC_MatureFemale_Brain_R1.mLb.clN.bam,AtanticSalmon_ATAC_MatureFemale_Brain_R1.mLb.clN.sorted.bam
A15_AF,MatureFemale_R2,AtanticSalmon_ATAC_MatureFemale_Brain_R2.mLb.clN.bam,AtanticSalmon_ATAC_MatureFemale_Brain_R2.mLb.clN.sorted.bam
A24_AF,MatureFemale_R3,AtanticSalmon_ATAC_MatureFemale_Brain_R3.mLb.clN.bam,AtanticSalmon_ATAC_MatureFemale_Brain_R3.mLb.clN.sorted.bam
A19_AF,MatureMale_R1,AtanticSalmon_ATAC_MatureMale_Brain_R1.mLb.clN.bam,AtanticSalmon_ATAC_MatureMale_Brain_R1.mLb.clN.sorted.bam
A20_AF,MatureMale_R2,AtanticSalmon_ATAC_MatureMale_Brain_R2.mLb.clN.bam,AtanticSalmon_ATAC_MatureMale_Brain_R2.mLb.clN.sorted.bam
A22_AF,MatureMale_R3,AtanticSalmon_ATAC_MatureMale_Brain_R3.mLb.clN.bam,AtanticSalmon_ATAC_MatureMale_Brain_R3.mLb.clN.sorted.bam
J15_AF,ImmatureMale_R1,AtanticSalmon_ATAC_ImmatureMale_Brain_R1.mLb.clN.bam,AtanticSalmon_ATAC_ImmatureMale_Brain_R1.mLb.clN.sorted.bam
J16_AF,ImmatureMale_R2,AtanticSalmon_ATAC_ImmatureMale_Brain_R2.mLb.clN.bam,AtanticSalmon_ATAC_ImmatureMale_Brain_R2.mLb.clN.sorted.bam
J18_AF,ImmatureMale_R3,AtanticSalmon_ATAC_ImmatureMale_Brain_R3.mLb.clN.bam,AtanticSalmon_ATAC_ImmatureMale_Brain_R3.mLb.clN.sorted.bam
J8_AF,ImmatureFemale_R1,AtanticSalmon_ATAC_ImmatureFemale_Brain_R1.mLb.clN.bam,AtanticSalmon_ATAC_ImmatureFemale_Brain_R1.mLb.clN.sorted.bam
J9_AF,ImmatureFemale_R2,AtanticSalmon_ATAC_ImmatureFemale_Brain_R2.mLb.clN.bam,AtanticSalmon_ATAC_ImmatureFemale_Brain_R2.mLb.clN.sorted.bam
J10_AF,ImmatureFemale_R3,AtanticSalmon_ATAC_ImmatureFemale_Brain_R3.mLb.clN.bam,AtanticSalmon_ATAC_ImmatureFemale_Brain_R3.mLb.clN.sorted.bam